site,ido,keido,train,hour,minute,rinji
51,36.39944599,136.4526268,down5,8,13,
52,36.40281336,136.4527486,down5,8,13,
53,36.41610106,136.4543839,down5,8,11,
54,36.42968959,136.4625835,down5,8,10,
55,36.44429656,136.4800566,down5,8,10,
56,36.46643737,136.493625,down5,8,8,
57,36.4834705,136.5069983,down5,8,8,
58,36.50842473,136.5352089,down5,8,6,
59,36.5253142,136.5629901,down5,8,5,
60,36.53535544,136.5850922,down5,8,4,
61,36.55283912,136.6205407,down5,8,3,
62,36.56697342,136.6395826,down5,8,2,
63,36.57823804,136.6475734,down5,8,2,
1,35.64539102,136.0768759,down6,9,6,1
2,35.65929747,136.0950707,down6,9,5,1
3,35.68497762,136.1070751,down6,9,4,1
4,35.70317626,136.1146778,down6,9,3,1
5,35.76586476,136.1402872,down6,9,0,1
6,35.81812155,136.1610947,down6,8,58,1
7,35.84958885,136.1775007,down6,8,57,1
8,35.86416602,136.1882852,down6,8,56,1
9,35.88516998,136.195938,down6,8,55,1
10,35.89558136,136.1990239,down6,8,55,1
11,35.90843921,136.20189,down6,8,55,1
12,35.9223765,136.2070656,down6,8,54,1
13,35.93421603,136.2145703,down6,8,54,1
14,35.94846303,136.2176757,down6,8,53,1
15,35.95411921,136.2170287,down6,8,53,1
16,35.9687815,136.215476,down6,8,52,1
17,36.00602189,136.2232084,down6,8,51,1
18,36.01643618,136.2235517,down6,8,50,1
19,36.03156916,136.2189168,down6,8,50,1
20,36.04413021,136.2178633,down6,8,49,1
21,36.05494258,136.2181561,down6,8,49,1
22,36.06046657,136.2220607,down6,8,49,1
23,36.06215635,136.2235144,down6,8,49,1
24,36.06622689,136.2287961,down6,8,47,1
25,36.07190789,136.2329936,down6,8,47,1
26,36.08208533,136.2370934,down6,8,47,1
27,36.09186705,136.244024,down6,8,46,1
28,36.10259398,136.2450978,down6,8,46,1
29,36.10961302,136.2446097,down6,8,46,1
30,36.11978558,136.2442193,down6,8,45,1
31,36.12554155,136.2450002,down6,8,45,1
32,36.1353967,136.2489048,down6,8,45,1
33,36.15037415,136.2528094,down6,8,44,1
34,36.16314214,136.250369,down6,8,44,1
35,36.17858705,136.2451954,down6,8,43,1
36,36.1894597,136.2416813,down6,8,43,1
37,36.20513572,136.2361172,down6,8,42,1
38,36.21466584,136.2348483,down6,8,42,1
39,36.22513975,136.235922,down6,8,41,1
40,36.25497877,136.252907,down6,8,40,1
41,36.2996766,136.3170399,down6,8,38,1
42,36.31713957,136.3385152,down6,8,37,1
43,36.32083619,136.3508146,down6,8,36,1
44,36.32382481,136.3657497,down6,8,36,1
45,36.32421804,136.3843941,down6,8,35,1
